Fecha,Concepto,Cantidad,Tipo
2025-01-01,Hogar - Hipoteca,209.0,Gasto
2025-01-01,Ocio,31.0,Gasto
2025-01-01,Deporte,15.0,Gasto
2025-01-01,Plataformas,12.0,Gasto
2025-01-01,Nómina,1900.0,Ingreso
2025-01-01,Transporte,44.0,Gasto
2025-01-01,Hogar - Seguro vida,18.0,Gasto
2025-01-01,Hogar - Seguro hogar,27.0,Gasto
2025-01-01,Hogar - Cuenta,200.0,Gasto
2025-02-01,Hogar - Seguro hogar,27.0,Gasto
2025-02-01,Hogar - Cuenta,200.0,Gasto
2025-02-01,Ocio,9.0,Gasto
2025-02-01,Deporte,15.0,Gasto
2025-02-01,Plataformas,12.0,Gasto
2025-02-01,Hogar - Seguro vida,18.0,Gasto
2025-02-01,Hogar - Hipoteca,209.0,Gasto
2025-02-01,Nómina,1900.0,Ingreso
2025-02-01,Transporte,38.0,Gasto
2025-03-01,Transporte,90.0,Gasto
2025-03-01,Deporte,15.0,Gasto
2025-03-01,Plataformas,12.0,Gasto
2025-03-01,Nómina,1900.0,Ingreso
2025-03-01,Hogar - Hipoteca,209.0,Gasto
2025-03-01,Hogar - Seguro vida,18.0,Gasto
2025-03-01,Hogar - Seguro hogar,27.0,Gasto
2025-03-01,Hogar - Cuenta,200.0,Gasto
2025-04-01,Deporte,15.0,Gasto
2025-04-01,Transporte,100.0,Gasto
2025-04-01,Ocio,59.0,Gasto
2025-04-01,Compras,65.0,Gasto
2025-04-01,Viajes,200.0,Gasto
2025-04-01,Hogar - Hipoteca,209.0,Gasto
2025-04-01,Hogar - Seguro vida,18.0,Gasto
2025-04-01,Hogar - Seguro hogar,27.0,Gasto
2025-04-01,Regalo/otro,50.0,Ingreso
2025-04-01,Plataformas,33.0,Gasto
2025-04-01,Hogar - Cuenta,200.0,Gasto
2025-04-01,Nómina,1900.0,Ingreso
2025-05-01,Hogar - Hipoteca,209.0,Gasto
2025-05-01,Transporte,20.0,Gasto
2025-05-01,Deporte,15.0,Gasto
2025-05-01,Hogar - Seguro vida,18.0,Gasto
2025-05-01,Hogar - Seguro hogar,27.0,Gasto
2025-05-01,Hogar - Cuenta,200.0,Gasto
2025-05-01,Ocio,272.0,Gasto
2025-05-01,Nómina,1900.0,Ingreso
2025-06-01,Hogar - Cuenta,200.0,Gasto
2025-06-01,Ocio,582.0,Gasto
2025-06-01,Nómina,1900.0,Ingreso
2025-06-01,Hogar - Seguro hogar,27.0,Gasto
2025-06-01,Renta,610.0,Gasto
2025-06-01,Hogar - Hipoteca,209.0,Gasto
2025-06-01,Hogar - Seguro vida,18.0,Gasto
2025-06-01,Deporte,15.0,Gasto
2025-06-01,Transporte,20.0,Gasto
2025-07-01,Nómina,5596.0,Ingreso
2025-07-01,Deporte,15.0,Gasto
2025-07-01,Transporte,20.0,Gasto
2025-07-01,Ocio,551.0,Gasto
2025-07-01,Hogar - Cuenta,200.0,Gasto
2025-07-01,Hogar - Seguro hogar,27.0,Gasto
2025-07-01,Hogar - Seguro vida,18.0,Gasto
2025-07-01,Hogar - Hipoteca,209.0,Gasto
2025-08-01,Deporte,15.0,Gasto
2025-08-01,Hogar - Cuenta,200.0,Gasto
2025-08-01,Hogar - Seguro hogar,27.0,Gasto
2025-08-01,Hogar - Seguro vida,18.0,Gasto
2025-08-01,Hogar - Hipoteca,209.0,Gasto
2025-08-01,Transporte,20.0,Gasto
2025-08-01,Nómina,1000.0,Ingreso
2025-08-01,Ocio,1478.0,Gasto
2025-09-01,Hogar - Cuenta,200.0,Gasto
2025-09-01,Nómina,1300.0,Ingreso
2025-09-01,Hogar - Seguro vida,18.0,Gasto
2025-09-01,Hogar - Seguro hogar,27.0,Gasto
2025-09-01,Ocio,455.0,Gasto
2025-09-01,Regalo/otro,1761.0,Ingreso
2025-09-01,Transporte,175.0,Gasto
2025-09-01,Deporte,15.0,Gasto
2025-09-01,Hogar - Hipoteca,209.0,Gasto
2025-10-01,Deporte,15.0,Gasto
2025-10-01,Hogar - Hipoteca,209.0,Gasto
2025-10-01,Transporte,191.0,Gasto
2025-10-01,Hogar - Seguro hogar,27.0,Gasto
2025-10-01,Hogar - Cuenta,200.0,Gasto
2025-10-01,Ocio,661.0,Gasto
2025-10-01,Nómina,2000.0,Ingreso
2025-10-01,Hogar - Seguro vida,18.0,Gasto
2025-11-01,Plataformas,19.0,Gasto
2025-11-01,Ocio,428.0,Gasto
2025-11-01,Deporte,15.0,Gasto
2025-11-01,Nómina,2000.0,Ingreso
2025-11-01,Transporte,29.0,Gasto
2025-11-01,Hogar - Cuenta,200.0,Gasto
2025-11-01,Hogar - Seguro hogar,27.0,Gasto
2025-11-01,Compras,80.0,Gasto
2025-11-01,Hogar - Hipoteca,209.0,Gasto
2025-11-01,Hogar - Seguro vida,18.0,Gasto
2025-12-01,Plataformas,21.0,Gasto
2025-12-01,Compras,310.0,Gasto
2025-12-01,Deporte,15.0,Gasto
2025-12-01,Hogar - Hipoteca,209.0,Gasto
2025-12-01,Hogar - Seguro vida,18.0,Gasto
2025-12-01,Transporte,40.0,Gasto
2025-12-01,Hogar - Seguro hogar,27.0,Gasto
2025-12-01,Hogar - Cuenta,200.0,Gasto
2025-12-01,Ocio,77.0,Gasto
2025-12-01,Nómina,2222.0,Ingreso
